付费剧情集.更新25/01,#genre#
日本舞女-安吉拉·莫雷纳-菲律宾,https://hn.bfvvs.com/play/xe7R22wd/index.m3u8
上门服务-赫尔希·德莱昂万斯·拉雷纳.拉蒙·门多萨-菲律宾,https://hn.bfvvs.com/play/kazkw42b/index.m3u8
他的滋味-韩国,https://hn.bfvvs.com/play/QbY83Zna/index.m3u8
回忆初体验-车明勋.金宇烈.嘉媛.孙艺夏-韩国,https://hn.bfvvs.com/play/neg0EO9a/index.m3u8
露营地变态女主管-郑夏英.善律.钟仁-韩国,https://hn.bfvvs.com/play/Pe9WEBzb/index.m3u8
姐夫的独宠-新春.郑夏英.林富美.赵完真-韩国,https://hn.bfvvs.com/play/QbY8D9Ya/index.m3u8
降落之爱-考特尼·伊顿，托马斯·曼-美国,https://bfikuncdn.com/20240801/4cxeOdax/index.m3u8

法国.啄木鸟系列,#genre#
法国空姐-1920*1080-艾莲娜.科诗卡-Elena Koshka(啄木鸟2009),https://hn.bfvvs.com/play/QbY89vKa/index.m3u8
法国空姐-不雅空乘1280*720-艾莲娜.科诗卡-Elena Koshka(啄木鸟2019),https://hn.bfvvs.com/play/vbm5oP3b/index.m3u8
赤裸王牌5(Naked Aces 5)1920x1080-雷丽.斯蒂尔&伊尔莎·琼(Riley Steele& ELSA JEAN),https://bf2.mmzb09.com/20230407/K4NjZzaM/index.m3u8
高压监狱1920*1080-罗丽.星克莱尔-Laure Sainclair(啄木鸟2019),https://hd.ijycnd.com/play/NbWBZKEa/index.m3u8
备用线路.高压监狱1920*1080-罗丽.星克莱尔-Laure Sainclair(啄木鸟2019),https://hnzy.bfvvs.com/play/qaQLQKGe/index.m3u8
灭火宝贝1280*720-雷丽.斯蒂尔-Riley Steele(啄木鸟2010),https://vod.letuvod.com/6f/f18/71/1000kb/hls/index.m3u8
壮志凌云1280*720-雷丽.斯蒂尔-Riley Steele(啄木鸟2010),https://vod.letuvod.com/6f/f28/11/hls/index.m3u8
女海盗II:斯塔内蒂的复仇1280x720,https://v.gsuus.com/play/Le3gw64e/index.m3u8
加勒比女海盗-1024x576卡门.卢瓦娜-上集,https://mov.letumov.com/bb/b20/1/3073kb/hls/index.m3u8
加勒比女海盗-1024x576卡门.卢瓦娜-下集,https://mov.letumov.com/bb/b20/2/3071kb/hls/index.m3u8
失落的凯登LosingKayden,https://f005.paopao.video:443/AE01C46A719560D30C8FFF53E7738F703D6C489C
欧美高清.短片,#genre#

测试1,https://m3u8.41cdn.com/newhd/202309/6511abad7ebb8b1bc4c7b8df/hls/index.m3u8
测试2,https://vip7.ljbfbf.com/20240127/cqSULuRF/index.m3u8

直播录像,#genre#
近期外网最火主播anna102携手闺蜜互相抚摸帮忙自慰这超有感染力的笑容,https://cdn-m.asujp.com:59888/f/data7/3EAFFA4D7411A235/A8BEA75552A93BA7/play.m3u8
年度最佳外围探花西门庆TP3k元约操气质反差美女校花上下粉嫩绝对完美型性伴侣,https://cdn-m.asujp.com:59888/f/data7/3EAFFA4D7411A235/016824FF75AB68AA/play.m3u8
哺乳期直播,https://video29.balecao.com/video/20220610/c8eb87cb3dc7409235aab76720403944/index.m3u8
SPA直播搞笑在后面,https://video.bttbo.com/decry/vd/20240218/NmZmZWY5ZTQ4/013828/1280_720/libx/hls/encrypt/index.m3u8
精瘦猛男网约极品兼职学妹，搞到一半发生争执安抚后继续操, https://video9.bpzy1.com/video/20211227/fef8d423676a4d08c43cb8ae196f8e66/index.m3u8
米妮萌萌，男：我射了我要睡觉你自已玩去吧，我受不了了,https://video39.bpzy1.com/video/20221201/653e063cef69afb7a394b5dbc020649f/index.m3u8
有情调对白多的直播1，女：不要只顾自已操要看大哥的要求！,https://vod3.ttbfp5.com/20240316/jhoe6fvf/index.m3u8
有情调对白多的直播2，这样的表妹有点费表哥,https://vod3.ttbfp5.com/20240316/6gJcgAlP/index.m3u8
黑丝极品妞真扛草，全程高能露脸3P啪啪大秀直播,https://v.xbv2.com/20240314/yqOBMiP4/index.m3u8
绿播转黄播 极品颜值白虎逼全身尤物完美,https://v.xbv2.com/20240313/mUEvU5lI/index.m3u8
门事件,#genre#

济南饥渴人妻婚内出轨4P事件 淫荡骚妻 被操的嗷嗷叫!,https://vip2.slbfsl.com/20230302/9wWcZu7q/index.m3u8
江苏人妻马铃儿出轨单位同事外泄 偷偷开房爆操!,https://vip2.slbfsl.com/20230302/0nv6z6Ai/index.m3u8
山东滕州KTV聚众淫乱事件,https://cdn-m.asujp.com:59888/f/data7/3EAFFA4D7411A235/FE9CFC4B511A31B7/play.m3u8
韩国芸能界の悲惨な门事情口活超棒的美女 被激情多体位抽插!,https://vip2.slbfsl.com/20230301/hOJOedg6/index.m3u8
台湾高雄酒店露出门一对男女在酒店开房啪啪啪未拉窗帘被几千人围观,https://cdn-m.asujp.com:59888/f/data7/EC39DC2E22B38CC7/F911951D778BC919/play.m3u8
邵阳市爱度创想酒店情侣做爱没关窗帘全市人民观看,https://cdn-m.asujp.com:59888/f/data7/3EAFFA4D7411A235/D1C246AD613BCE49/play.m3u8
韩国汉阳大学女学生床片流出极品反差颜值超高外面清纯床上超淫荡叫声诱人,https://cdn-m.asujp.com:59888/f/data7/3EAFFA4D7411A235/FFC49F6982660976/play.m3u8
校园新瓜西北农林科技大学附中康佳栋女友手机内啪啪视频竟被闺蜜曝光售卖,https://cdn-m.asujp.com:59888/f/data7/3EAFFA4D7411A235/25CFDE4BAA89DA73/play.m3u8
山西某校园一对情侣在长椅上激情对线,https://cdn-m.asujp.com:59888/f/data7/EC39DC2E22B38CC7/D2786CCF341469DF/play.m3u8
第一部真网红刚出狱就开始了沈樵12月入驻直播平台全裸首秀聊八卦,https://cdn-m.asujp.com:59888/f/data7/EC39DC2E22B38CC7/AF1F2C503E154BBE/play.m3u8
第二部真网红刚出狱就开始了沈樵12月入驻直播平台全裸首秀聊八卦,https://cdn-m.asujp.com:59888/f/data7/EC39DC2E22B38CC7/728039F8B49F0B98/play.m3u8


日韩,#genre#
下女(韩)-1920x816-全度妍-2010,https://hd1.lz-cdn15.com/20221207/642_bc8b714f/2000k/hls/mixed.m3u8
外人(韩)-1280x720-2018,https://hd1.lz-cdn15.com/20221029/556_99cb6c19/1200k/hls/mixed.m3u8
长冲击(韩)-1280x720,https://yzzy1.play-cdn16.com/20240216/27944_b0eb0b9a/2000k/hls/mixed.m3u8


国产短片,#genre#
赵总寻花-约操身材一级棒的性感妹妹,https://bfaskcdn.com/20241217/Gq2gSyGp/index.m3u8
情侣自拍四川话对白重庆妹子和男友激情自拍,https://vip7.newljlj.com/20241007/QNeyVFjc/index.m3u8

双飞名场面 清纯甜美00后美少女 ,https://vip2.slbfsl.com/20230315/7nLtFVT1/index.m3u8
双飞名场面【下篇】清纯甜美00后美少女,https://vip2.slbfsl.com/20230311/YGDWnhtu/index.m3u8
双飞名场面【上篇】清纯甜美00后美少女,https://vip2.slbfsl.com/20230311/vZVxoI5I/index.m3u8
舒淇早期激青合集,https://v6.jindangao.com/hj/hj2/hj25/36/hls/index.m3u8

舒淇.早期超脱尺度裸身写真,https://vip7.newljlj.com/20240910/1r463VUK/index.m3u8
舒淇.透明情趣内衣T台走秀完整全套,https://vip7.newljlj.com/20240708/09yfDalK/index.m3u8
舒淇.三级电影露点片段集合1,https://vip7.newljlj.com/20240708/pc8nLnzv/index.m3u8
舒淇.三级电影露点片段集合2,https://vip7.newljlj.com/20240708/iDSHnhZc/index.m3u8
天马行空-1080x606,https://vip1.lz-cdn1.com/20220327/598_e04cb40d/1200k/hls/mixed.m3u8
国产经典三级片,#genre#
蜜桃成熟时-李丽珍1920*1080粤语1993,https://vip.lz-cdn16.com/20221222/1040_850899a7/index.m3u8
苹果-范冰冰.佟大为.梁家辉1920*1080-2007,https://104.224.248.236:11300/vods/hls/dhz/114/240129/202459/1920/index.m3u8
婚前试爱-周秀娜1280*780国语2010,https://cdn.wlcdn99.com:777/20220420/VdvwScw5/index.m3u8
惊变-温碧霞.任达华960*536粤语1996,https://vip.ffzy-play8.com/20221125/575_553b054e/index.m3u8
一路向西,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/fd/ea/eu/2q/7bd22841f6dd4b768ab5d1e38419bf4b.m3u8
鸭王,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/fo/4n/1u/xg/304cc44af0334b39b0989c4e224ec966.m3u8
爱很烂,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/vf/c1/xy/je/9c181c81984e456a9ade1fa8c0021770.m3u8
金瓶梅2008,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/c0/xf/gg/0f/8a292587e31a4a3eaa0181399728341b.m3u8
金瓶梅 2009,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/5r/f0/91/pt/657f7457792046f0b26296e7ab8dc54c.m3u8
新金瓶梅-1「修复」,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/9n/om/ey/m3/5818f7a375364105b91f73443101fbc8.m3u8
新金瓶梅-2「修复」,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/st/og/8r/id/95b2f1ca83914736bf80677f168c8a9d.m3u8
新金瓶梅-3「修复」,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/j1/je/h3/ny/bd613c602d5a4e9a9e4666ec25899422.m3u8
新金瓶梅-4「修复」,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/ys/ct/jj/2v/4d20dc3e83a54dbbbd0882d8156f7a5e.m3u8
新金瓶梅-5「修复」,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/st/fa/rg/ao/1c8293e0715c465f8b859b0379ce6155.m3u8
96金瓶梅续集杨思雯版1,https://v5.jindangao.com/xx/x1/14/1000kb/hls/index.m3u8
96金瓶梅续集杨思雯版2,https://v5.jindangao.com/xx/x1/15/1000kb/hls/index.m3u8
96金瓶梅续集杨思雯版3,https://v5.jindangao.com/xx/x1/16/1000kb/hls/index.m3u8
情难自制「修复」,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/p9/5v/9t/j0/e18f0c1590a940eca9443e6a2ffdee3b.m3u8
勾魂噩梦「修复」,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/de/8i/j5/cd/92b61d3b80514007a60da1c9a4210189.m3u8
聊斋艳谭3：灯草和尚「修复」,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/4p/48/z1/q0/851e1443df22425687209bd894113842.m3u8
聊斋艳谭续集：五神通「修复」,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/em/nl/x2/h0/1fabfbc638264c6c8a73a03666df2d2a.m3u8
艳降勾魂「修复」,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/bj/z0/q7/by/5b49b5ff15484a5aab4a3d0d55d608ec.m3u8
摩登龙争虎斗「修复」,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/4d/4q/84/b9/edd66c1ce5424c5d85c28c329b083b73.m3u8
五月樱唇「修复」,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/1q/92/2c/l2/dcb00c7faa4d4a1cab77f8cef6cd3f14.m3u8
灭门惨案之孽杀,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/ph/ar/xo/yj/58d41640a9e6447db67ad3e161c28e66.m3u8
灭门惨案2:借种,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/1f/wk/cl/w4/86ad88a49fcf42778d5fb1522845c8a7.m3u8
金瓶风月,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/bv/na/64/js/bc13bb11a2734309a97c51e8018062a0.m3u8
聊斋艳谭,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/hj/gn/9q/pf/328249e08ba04574b40ce799e997d7f7.m3u8
聊斋惊艳,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/i2/dv/us/uz/22ea327b9ed8494b86d4c93b3efbbb90.m3u8
聊斋金瓶梅,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/y4/my/fk/ri/6195420d42f54abe8c997cb3859aa8a5.m3u8
聊斋花弄月,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/ay/u7/zm/9e/8d8af725105d45deae2dde3912289813.m3u8
情不自禁,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/zh/9w/hm/1l/3e/ab8f485579fa4412a33b66ffbcf1b560.m3u8
惊变,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/01/gh/8c/mu/6f08b2047a4c43fb80a6b84b4a210c8e.m3u8
欲海花,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/mp/xu/5a/2z/3b0bf943125c4d8d935354e42aece2f7.m3u8
不覊的心,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/3u/zp/4s/rh/b3acaabe7e0b4c148b3571da6fc9f41c.m3u8
蜜桃来偷欢,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/oh/ja/jq/y7/a11df34ee2574fbfbe46ce724fa56f17.m3u8
灵幻新娘,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/13/8j/ol/z6/947bcb5ad38f4a5eab132da3a94cc85f.m3u8
摧花神龙教,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/rt/ix/j5/50/5a8f75848e7f4fb68539c8032a42800a.m3u8
不文小丈夫之银座嬉春,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/7n/s6/95/b4/64b1be8333004ba5ae30665390893889.m3u8
花街狂奔,https://fufxtyc.bytebwq.com/api/app/media/m3u8/zh/zu/ty/p1/jk/3259f3f5abad4eb59e6eb0d81e9c14f1.m3u8
痴汊尾行-餐廳露出強姦/TZ-107,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/av/7o/ry/4q/lz/15ef36cf640a48c9bbb81706376f16d7.m3u8
母親節特别篇-給儿子的禮物/TZ-106,https://ypmnkbb.saejeuj.com/api/app/media/m3u8/av/ee/8r/8k/la/7087fb756fad43fea40d8a28394cde3b.m3u8

其它,#genre#
索多玛120天-1080x582,https://yzzy.play-cdn7.com/20220629/1285_d5fcdcf2/1000k/hls/index.m3u8
